target_emotion,emotion,weight
happiness,amusement,0.14125
happiness,anger,0.82501
happiness,anxiety,0.89125
happiness,confusion,0.632501
happiness,contempt,0.65
happiness,disgust,0.81625
happiness,embarrassment,0.84125
happiness,fear,0.850001
happiness,guilt,0.875
happiness,happiness,1.0
happiness,interest,0.1575
happiness,joy,0.00750062
happiness,love,0.02500022
happiness,pride,0.16625
happiness,sadness,0.775
happiness,shame,0.866251
happiness,surprise,0.3325
happiness,unhappiness,0.74125
fear,amusement,0.70875
fear,anger,0.0250001
fear,anxiety,0.04125
fear,confusion,0.2175003
fear,contempt,0.2
fear,disgust,0.03375
fear,embarrassment,0.00875
fear,fear,1.0
fear,guilt,0.025
fear,happiness,0.850001
fear,interest,0.6925
fear,joy,0.8425
fear,love,0.875
fear,pride,0.683751
fear,sadness,0.0750001
fear,shame,0.01625
fear,surprise,0.517501
fear,unhappiness,0.1087501
amusement,amusement,1.0
amusement,anger,0.683751
amusement,anxiety,0.75
amusement,confusion,0.49125
amusement,contempt,0.50875
amusement,disgust,0.675
amusement,embarrassment,0.7
amusement,fear,0.70875
amusement,guilt,0.73375
amusement,happiness,0.14125
amusement,interest,0.01625098
amusement,joy,0.13375
amusement,love,0.16625
amusement,pride,0.02500022
amusement,sadness,0.63375
amusement,shame,0.725001
amusement,surprise,0.1912503
amusement,unhappiness,0.6
