klip,original method,šifra,amusement,anger,anxiety,confusion,contempt,disgust,embarrassment,fear,guilt,happiness,interest,joy,love,pride,sadness,shame,surprise,unhappiness,Ste posnetek že videli?,Ste imeli zaprte oči (da/ne),Valenca,*Other emotions
ples,yellow,11,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,,,,
ples,yellow,12,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,,,,
ples,yellow,13,3,0,0,0,0,0,0,0,0,1,5,0,0,5,0,0,0,0,,,,
ples,yellow,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ples,yellow,15,5,0,0,0,0,0,0,0,0,3,7,1,1,7,0,0,1,0,,,,
hodnik,yellow,11,0,4,4,0,1,3,5,4,3,0,0,0,0,0,3,4,1,0,,,,
hodnik,yellow,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
hodnik,yellow,13,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,
hodnik,yellow,14,0,2,5,2,2,6,7,2,7,0,0,0,0,0,6,7,0,3,,,,
hodnik,yellow,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,
restavracija,yellow,11,4,0,0,0,0,0,0,0,0,7,2,7,7,2,0,0,0,0,,,,
restavracija,yellow,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
restavracija,yellow,13,0,0,1,3,3,3,2,0,2,0,0,0,0,0,4,2,2,2,,,,
restavracija,yellow,14,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,
restavracija,yellow,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,
ples,blue,21,5,0,2,0,0,2,0,0,0,5,0,6,0,0,3,0,0,3,Y,N,5,annoyance (2)
ples,blue,22,4,0,0,0,0,0,0,0,0,6,3,7,0,0,0,0,0,0,N,N,6,/
ples,blue,23,1,5,0,4,0,2,0,1,0,0,0,0,0,0,5,0,5,8,N,N,3,boredom (8)
ples,blue,24,4,0,1,0,0,0,0,3,0,6,5,7,2,0,5,0,0,0,Y,N,6,/
ples,blue,25,2,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0,N,N,7,/
hodnik,blue,21,0,0,6,0,0,0,0,3,0,0,5,0,0,0,0,0,0,3,N,N,0,/
hodnik,blue,22,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,N,N,1,/
hodnik,blue,23,2,0,7,3,0,4,0,7,5,0,8,0,0,0,3,0,5,6,N,N,5,/
hodnik,blue,24,1,0,5,2,0,0,0,2,0,0,6,0,0,0,0,0,0,0,N,N,1,
hodnik,blue,25,0,0,4,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,N,N,1,
restavracija,blue,21,7,1,0,0,3,4,2,0,0,1,3,1,0,0,0,2,0,0,N,N,3,annoyance (4)
restavracija,blue,22,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,N,N,4,/
restavracija,blue,23,5,4,1,0,5,7,5,0,6,2,1,2,0,3,0,6,5,6,N,N,5,
restavracija,blue,24,3,3,0,0,5,0,1,0,0,6,5,5,0,5,0,0,3,0,N,N,6,/
restavracija,blue,25,4,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,N,N,3,
ples,red,31,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,1,,,,
ples,red,32,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,,,,
ples,red,33,4,0,0,0,0,0,0,0,0,4,0,6,3,0,0,0,0,0,,,,
ples,red,34,0,0,0,0,0,0,0,0,0,7,0,1,4,0,1,0,0,0,,,,
hodnik,red,31,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,
hodnik,red,32,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,
hodnik,red,33,0,0,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,,,,
hodnik,red,34,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,
restavracija,red,31,7,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,,,,
restavracija,red,32,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,
restavracija,red,33,7,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,
restavracija,red,34,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,
ples,green,41,4,0,4,0,0,0,0,4,0,6,6,4,0,0,2,0,2,0,J,N,7,/
ples,green,42,3,0,6,0,0,0,0,1,0,3,2,4,4,0,0,0,0,0,N,N,6,/
ples,green,43,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,3,/
ples,green,44,6,0,0,0,0,0,0,0,0,7,4,5,7,2,2,0,0,0,N,N,6,
hodnik,green,41,1,5,3,6,0,2,0,0,2,1,4,0,0,0,2,0,4,4,N,N,1,/
hodnik,green,42,0,0,7,1,0,0,0,7,0,0,2,0,0,0,0,0,0,0,N,N,2,
hodnik,green,43,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,N,N,2,/
hodnik,green,44,2,0,5,0,0,0,0,7,0,2,4,0,0,0,0,0,2,0,N,N,4,
restavracija,green,41,2,4,3,0,0,0,3,3,4,0,2,0,0,0,4,2,3,3,N,N,3,/
restavracija,green,42,8,0,0,0,0,0,1,0,0,5,2,8,0,4,0,0,1,0,N,N,9,
restavracija,green,43,7,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,N,N,7,/
restavracija,green,44,3,0,2,4,3,6,4,0,0,2,4,1,0,0,0,3,2,2,N,N,4,
