klip,original method,šifra,valenca,vzburjenje
ples,yellow,11,0.75,0.25
ples,yellow,12,0.75,0.25
ples,yellow,13,0.75,0.375
ples,yellow,14,0.625,0.125
ples,yellow,15,0.75,0.5
hodnik,yellow,11,0.25,0.75
hodnik,yellow,12,0.5,0
hodnik,yellow,13,0.5,0.25
hodnik,yellow,14,0.125,0.625
hodnik,yellow,15,0.375,0.125
restavracija,yellow,11,1,0.75
restavracija,yellow,12,0.625,0
restavracija,yellow,13,0.375,0.625
restavracija,yellow,14,0.5,0.25
restavracija,yellow,15,0.375,0.125
ples,blue,21,0.5,0.625
ples,blue,22,0.625,0.75
ples,blue,23,0.25,0.625
ples,blue,24,0.625,0.625
ples,blue,25,0.75,0.625
hodnik,blue,21,0,0.625
hodnik,blue,22,0,0.75
hodnik,blue,23,0.5,0.625
hodnik,blue,24,0,0.625
hodnik,blue,25,0,0.75
restavracija,blue,21,0.25,0.625
restavracija,blue,22,0.375,0.625
restavracija,blue,23,0.5,0.625
restavracija,blue,24,0.625,0.625
restavracija,blue,25,0.25,0.5
ples,red,31,0.375,0.5
ples,red,32,0.625,0.25
ples,red,33,0.875,0.375
ples,red,34,0.875,0.625
hodnik,red,31,0.5,0.625
hodnik,red,32,0.375,0
hodnik,red,33,0,0.75
hodnik,red,34,0.5,0.125
restavracija,red,31,0.75,0.75
restavracija,red,32,0.625,0.5
restavracija,red,33,0.625,0.625
restavracija,red,34,0.25,0.125
ples,green,41,0.75,0.25
ples,green,42,0.625,0.75
ples,green,43,0.25,0.25
ples,green,44,0.75,0.5
hodnik,green,41,0.125,0.75
hodnik,green,42,0.125,0.625
hodnik,green,43,0.125,0.625
hodnik,green,44,0.25,0.5
restavracija,green,41,0.375,0.75
restavracija,green,42,1,0.625
restavracija,green,43,0.75,0.5
restavracija,green,44,0.375,0.25
