klip,original method,šifra,error_method,emotion_error
ples,yellow,11,weighted_rmse_gt_valence_distance,0.310331
ples,yellow,12,weighted_rmse_gt_valence_distance,0.310331
ples,yellow,13,weighted_rmse_gt_valence_distance,0.293401
ples,yellow,14,weighted_rmse_gt_valence_distance,0.307238
ples,yellow,15,weighted_rmse_gt_valence_distance,0.256939
hodnik,yellow,11,weighted_rmse_gt_valence_distance,0.209599
hodnik,yellow,12,weighted_rmse_gt_valence_distance,0.380109
hodnik,yellow,13,weighted_rmse_gt_valence_distance,0.396717
hodnik,yellow,14,weighted_rmse_gt_valence_distance,0.32276
hodnik,yellow,15,weighted_rmse_gt_valence_distance,0.392361
restavracija,yellow,11,weighted_rmse_gt_valence_distance,0.257798
restavracija,yellow,12,weighted_rmse_gt_valence_distance,0.335507
restavracija,yellow,13,weighted_rmse_gt_valence_distance,0.423069
restavracija,yellow,14,weighted_rmse_gt_valence_distance,0.372376
restavracija,yellow,15,weighted_rmse_gt_valence_distance,0.364164
ples,blue,21,weighted_rmse_gt_valence_distance,0.221544
ples,blue,22,weighted_rmse_gt_valence_distance,0.10893
ples,blue,23,weighted_rmse_gt_valence_distance,0.506781
ples,blue,24,weighted_rmse_gt_valence_distance,0.238547
ples,blue,25,weighted_rmse_gt_valence_distance,0.168959
hodnik,blue,21,weighted_rmse_gt_valence_distance,0.317937
hodnik,blue,22,weighted_rmse_gt_valence_distance,0.342411
hodnik,blue,23,weighted_rmse_gt_valence_distance,0.399866
hodnik,blue,24,weighted_rmse_gt_valence_distance,0.37874
hodnik,blue,25,weighted_rmse_gt_valence_distance,0.311178
restavracija,blue,21,weighted_rmse_gt_valence_distance,0.201931
restavracija,blue,22,weighted_rmse_gt_valence_distance,0.13238
restavracija,blue,23,weighted_rmse_gt_valence_distance,0.537436
restavracija,blue,24,weighted_rmse_gt_valence_distance,0.313147
restavracija,blue,25,weighted_rmse_gt_valence_distance,0.182781
ples,red,31,weighted_rmse_gt_valence_distance,0.325714
ples,red,32,weighted_rmse_gt_valence_distance,0.315188
ples,red,33,weighted_rmse_gt_valence_distance,0.16632
ples,red,34,weighted_rmse_gt_valence_distance,0.056736
hodnik,red,31,weighted_rmse_gt_valence_distance,0.412716
hodnik,red,32,weighted_rmse_gt_valence_distance,0.380654
hodnik,red,33,weighted_rmse_gt_valence_distance,0.247613
hodnik,red,34,weighted_rmse_gt_valence_distance,0.388247
restavracija,red,31,weighted_rmse_gt_valence_distance,0.095588
restavracija,red,32,weighted_rmse_gt_valence_distance,0.144063
restavracija,red,33,weighted_rmse_gt_valence_distance,0.117062
restavracija,red,34,weighted_rmse_gt_valence_distance,0.272761
ples,green,41,weighted_rmse_gt_valence_distance,0.255731
ples,green,42,weighted_rmse_gt_valence_distance,0.298364
ples,green,43,weighted_rmse_gt_valence_distance,0.348069
ples,green,44,weighted_rmse_gt_valence_distance,0.142577
hodnik,green,41,weighted_rmse_gt_valence_distance,0.465585
hodnik,green,42,weighted_rmse_gt_valence_distance,0.116469
hodnik,green,43,weighted_rmse_gt_valence_distance,0.244522
hodnik,green,44,weighted_rmse_gt_valence_distance,0.219882
restavracija,green,41,weighted_rmse_gt_valence_distance,0.415878
restavracija,green,42,weighted_rmse_gt_valence_distance,0.153792
restavracija,green,43,weighted_rmse_gt_valence_distance,0.126103
restavracija,green,44,weighted_rmse_gt_valence_distance,0.390247
