klip,target_emotion,emotion,weight
ples,happiness,amusement,0.013333
ples,happiness,anger,0.077876
ples,happiness,anxiety,0.08413
ples,happiness,confusion,0.059705
ples,happiness,contempt,0.061357
ples,happiness,disgust,0.07705
ples,happiness,embarrassment,0.07941
ples,happiness,fear,0.080236
ples,happiness,guilt,0.082596
ples,happiness,happiness,0.094395
ples,happiness,interest,0.014867
ples,happiness,joy,0.000708
ples,happiness,love,0.00236
ples,happiness,pride,0.015693
ples,happiness,sadness,0.073156
ples,happiness,shame,0.08177
ples,happiness,surprise,0.031386
ples,happiness,unhappiness,0.069971
hodnik,fear,amusement,0.102402
hodnik,fear,anger,0.003612
hodnik,fear,anxiety,0.00596
hodnik,fear,confusion,0.031425
hodnik,fear,contempt,0.028897
hodnik,fear,disgust,0.004876
hodnik,fear,embarrassment,0.001264
hodnik,fear,fear,0.144483
hodnik,fear,guilt,0.003612
hodnik,fear,happiness,0.12281
hodnik,fear,interest,0.100054
hodnik,fear,joy,0.121727
hodnik,fear,love,0.126422
hodnik,fear,pride,0.09879
hodnik,fear,sadness,0.010836
hodnik,fear,shame,0.002348
hodnik,fear,surprise,0.07477
hodnik,fear,unhappiness,0.015712
restavracija,amusement,amusement,0.112565
restavracija,amusement,anger,0.076966
restavracija,amusement,anxiety,0.084424
restavracija,amusement,confusion,0.055298
restavracija,amusement,contempt,0.057267
restavracija,amusement,disgust,0.075981
restavracija,amusement,embarrassment,0.078796
restavracija,amusement,fear,0.07978
restavracija,amusement,guilt,0.082595
restavracija,amusement,happiness,0.0159
restavracija,amusement,interest,0.001829
restavracija,amusement,joy,0.015056
restavracija,amusement,love,0.018714
restavracija,amusement,pride,0.002814
restavracija,amusement,sadness,0.071338
restavracija,amusement,shame,0.08161
restavracija,amusement,surprise,0.021528
restavracija,amusement,unhappiness,0.067539
